Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A068270,¼¿Æ®¸®¿Â,20230214,9487,24697,-49813,22787,-3883,-24076,57,1,-52885,15610,19,8186
A068270,¼¿Æ®¸®¿Â,20230215,291949,-95567,-209150,-51677,-6499,-44249,57,1,-118158,11771,997,11375
A068270,¼¿Æ®¸®¿Â,20230216,16642,-66501,44571,99267,312,-2240,0,0,-63396,4972,316,10628
A068270,¼¿Æ®¸®¿Â,20230217,87311,-52447,-52874,58862,-1725,-6656,-372,-237,-119337,16851,1159,16591
A068270,¼¿Æ®¸®¿Â,20230220,-13025,-43986,45868,68076,852,527,0,-385,-24799,11302,-159,1597
A068270,¼¿Æ®¸®¿Â,20230221,147194,-122126,-53195,6492,-7166,-7993,-405,-780,-43309,27162,965,-34
A068270,¼¿Æ®¸®¿Â,20230222,397003,-131352,-276327,-98086,-14813,-25198,-402,-706,-130949,8844,1832,-6173
A068270,¼¿Æ®¸®¿Â,20230223,407718,-158258,-280273,-63778,-16193,-25975,-402,-706,-167803,28423,2390,-5416
A068270,¼¿Æ®¸®¿Â,20230224,33080,21994,-86826,-3813,222,1013,270,119,-78194,31497,255,-6443
A068270,¼¿Æ®¸®¿Â,20230227,86820,-12905,-127089,-61240,-2338,-1399,226,-268,-56011,51672,1502,-6059
A068270,¼¿Æ®¸®¿Â,20230228,127429,-143706,-4799,26944,-4776,1383,0,47,-33362,20626,450,4965
A068270,¼¿Æ®¸®¿Â,20230302,61980,-7463,-56862,-10030,-132,-3708,0,-141,-40808,2740,-395,-2043
A068270,¼¿Æ®¸®¿Â,20230303,2269,-232773,217692,58171,12265,64969,61,31,-15804,12641,171,97999
A068270,¼¿Æ®¸®¿Â,20230306,-55292,-173722,223654,54751,23054,34310,0,-580,44488,4760,600,67631
A068270,¼¿Æ®¸®¿Â,20230307,-53841,-306443,350002,57181,57176,102963,158,-526,84399,8474,1808,48651
A068270,¼¿Æ®¸®¿Â,20230308,92599,-109142,9375,-91878,17231,50115,1200,-213,29179,7245,-77,3741
A068270,¼¿Æ®¸®¿Â,20230309,17598,-309516,260620,-38590,33383,107270,2720,1208,125131,31411,-113,29498
A068270,¼¿Æ®¸®¿Â,20230310,-9995,-42114,8035,-38124,3117,2324,2085,0,57283,43985,89,-18650
A068270,¼¿Æ®¸®¿Â,20230313,-75779,12621,57286,2381,2134,5157,0,60,32199,5723,149,15355
A068270,¼¿Æ®¸®¿Â,20230314,-23860,-17598,10372,4278,10378,-9223,593,74,33269,31206,-120,-28997
A068270,¼¿Æ®¸®¿Â,20230315,-52977,-37223,33429,28357,10937,-7288,768,324,38247,57184,-413,-37916
A068270,¼¿Æ®¸®¿Â,20230316,-111267,91879,1971,-8502,-1260,-2063,50,306,19807,18515,-1098,-6367
A068270,¼¿Æ®¸®¿Â,20230317,-231648,152843,60745,7652,2273,10695,125,81,23380,18910,-850,16539
A068270,¼¿Æ®¸®¿Â,20230320,-62310,2288,59776,29568,7887,11051,0,0,10342,421,-175,928
A068270,¼¿Æ®¸®¿Â,20230321,-31814,-67831,54443,27207,5756,20502,74,-907,24437,45862,-660,-22626
A068270,¼¿Æ®¸®¿Â,20230322,-38365,20990,1647,10954,-2586,4387,259,-200,-8539,15762,-34,-2628
A068270,¼¿Æ®¸®¿Â,20230323,-39235,3451,10563,9470,-3165,4333,259,-200,8291,25515,-294,-8425
A068270,¼¿Æ®¸®¿Â,20230324,17864,-61480,-618,-27030,-111,-4311,110,0,31253,44139,95,-529
A068270,¼¿Æ®¸®¿Â,20230327,-246709,97585,102420,35365,1948,8601,444,1,27445,46559,145,28616
A068270,¼¿Æ®¸®¿Â,20230328,365996,-258752,-117793,-46080,-7805,-21849,-2017,160,-5213,8698,1851,-34989
A068270,¼¿Æ®¸®¿Â,20230329,357906,-239980,-123740,-29967,-14498,-26379,-2017,171,-5407,4514,1300,-45643
A068270,¼¿Æ®¸®¿Â,20230330,135603,-88716,-48725,3569,-12904,-21149,0,-300,-10259,1532,306,-7682
A068270,¼¿Æ®¸®¿Â,20230331,121771,-98712,-25224,34434,-18416,-15224,40,-711,-17834,2417,-252,-7513
A068270,¼¿Æ®¸®¿Â,20230403,-34450,35001,-23709,-42084,685,17837,1365,-471,-1348,23148,10,307
A068270,¼¿Æ®¸®¿Â,20230404,-523624,251825,240068,58041,34126,91594,1365,-592,50323,32786,-1055,5211
A068270,¼¿Æ®¸®¿Â,20230405,-120348,-13706,143477,31574,12660,19126,0,-1,78752,-8586,-837,1366
A068270,¼¿Æ®¸®¿Â,20230406,-265352,29807,242911,-43621,33806,47579,0,246,161923,-6122,-1244,42978
A068270,¼¿Æ®¸®¿Â,20230407,-20519,-17529,14781,2057,-147,989,100,-1043,20066,23490,-223,-7241
A068270,¼¿Æ®¸®¿Â,20230410,-232398,112246,128803,23633,10840,25106,-592,68,52334,-7747,-904,17414
A068270,¼¿Æ®¸®¿Â,20230411,-257704,49851,218566,24101,25455,39663,216,518,114520,-9472,-1241,14093
A068270,¼¿Æ®¸®¿Â,20230412,-516891,70458,449941,35597,44183,84098,-42,2217,252356,-1244,-2264,31532
A068270,¼¿Æ®¸®¿Â,20230413,-57877,-45910,93908,78740,-2770,15943,60,1,7809,8934,945,-5875
A068270,¼¿Æ®¸®¿Â,20230414,25556,-103304,66058,76252,-10101,-6097,-1286,-1725,35404,11115,575,-26389
A068270,¼¿Æ®¸®¿Â,20230417,35489,-13714,-13446,-35176,523,10439,-498,-122,16691,-8441,112,-5303
A068270,¼¿Æ®¸®¿Â,20230418,43920,93037,-122025,-74497,-5246,-6768,-863,-122,-15063,-14619,-313,-19466
A068270,¼¿Æ®¸®¿Â,20230419,-20173,6331,14626,-2187,5990,-8757,440,-1,26096,-868,84,-6955
A068270,¼¿Æ®¸®¿Â,20230420,-39111,8261,32102,6521,8682,-19904,816,-1,23718,-1435,183,12270
