¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A018000,¿Ø¥œΩº,20221108,-62292,78137,-7595,-7595,0,0,0,0,0,-11471,3221,0
A018000,¿Ø¥œΩº,20221107,16073,-4317,-3285,-3285,0,0,0,0,0,-9471,1000,0
A018000,¿Ø¥œΩº,20221110,-48810,51355,5140,751,0,4389,0,0,0,-6631,-1054,0
A018000,¿Ø¥œΩº,20221109,-32817,32565,385,385,0,0,0,0,0,0,-133,0
A018000,¿Ø¥œΩº,20221111,105889,-98829,-7597,792,0,-8389,0,0,0,-413,950,0
A018000,¿Ø¥œΩº,20221114,2862,4990,-3005,-1005,0,-2000,0,0,0,-5000,153,0
A018000,¿Ø¥œΩº,20221116,-152792,159141,-8786,-8786,0,0,0,0,0,0,2437,0
A018000,¿Ø¥œΩº,20221115,-22507,24899,-2180,-2180,0,0,0,0,0,88,-300,0
A018000,¿Ø¥œΩº,20221118,91945,-88397,-2454,-2454,0,0,0,0,0,0,-1094,0
A018000,¿Ø¥œΩº,20221117,52176,-51709,-45,-45,0,0,0,0,0,172,-594,0
A018000,¿Ø¥œΩº,20221122,29533,-29116,-671,-671,0,0,0,0,0,0,254,0
A018000,¿Ø¥œΩº,20221121,59985,-59298,-984,-984,0,0,0,0,0,37,260,0
A018000,¿Ø¥œΩº,20221124,-66371,77096,-2731,-2731,0,0,0,0,0,-7997,3,0
A018000,¿Ø¥œΩº,20221123,9902,678,-2586,-2586,0,0,0,0,0,-7997,3,0
A018000,¿Ø¥œΩº,20221125,32276,-31293,-1317,-1317,0,0,0,0,0,34,300,0
A018000,¿Ø¥œΩº,20221128,58564,-57954,-696,-696,0,0,0,0,0,-34,120,0
A018000,¿Ø¥œΩº,20221130,429050,-430823,4666,-2333,0,7000,0,-1,0,-1500,-1393,0
A018000,¿Ø¥œΩº,20221129,-30357,35686,-1529,-1529,0,0,0,0,0,-1500,-2300,0
A018000,¿Ø¥œΩº,20221202,555601,-716248,63459,-1541,0,65000,0,0,0,95318,1870,0
A018000,¿Ø¥œΩº,20221201,142815,-179219,31303,-697,0,32000,0,0,0,5000,101,0
A018000,¿Ø¥œΩº,20221206,7604,-38579,25405,4360,0,21045,0,0,0,2268,3302,0
A018000,¿Ø¥œΩº,20221205,-7621,-7837,10071,5071,0,5000,0,0,0,2268,3119,0
A018000,¿Ø¥œΩº,20221208,-12202,3604,8968,-1032,0,10000,0,0,0,0,-370,0
A018000,¿Ø¥œΩº,20221207,2779,-7291,5872,-128,0,6000,0,0,0,0,-1360,0
