,단어,빈도
1656,지배,34
1657,전공,34
1658,화장품,34
1659,심화,34
1660,148,34
1661,단체,34
1662,박사,34
1663,창립,34
1664,3일,34
1665,구미,34
1666,은평,34
1667,김치,34
1668,예수,34
1669,093,33
1670,103,33
1671,후반,33
1672,우호,0
1673,성장동력,0
1674,목적,33
1675,승패,33
1676,특수,33
1677,맙,33
1678,소송,0
1679,지방,33
1680,행복,33
1681,094,33
1682,당국,33
1683,중요성,33
1684,동아,33
1685,태양,33
1686,야간,33
1687,열정,0
1688,호주,33
1689,NH,33
1690,군,33
1691,재료,33
1692,엔씨소프트,33
1693,만료,33
1694,항공,33
1695,8년,33
1696,134,33
1697,로봇,33
1698,대웅제약,33
1699,울,33
1700,전남,33
1701,전면,33
1702,뱅크,33
1703,MSD,33
1704,세션,33
1705,NK,33
1706,끈기,0
1707,124,32
1708,2032년,32
1709,080,32
1710,마이크론,32
1711,악재,-1
1712,PBM,32
1713,베링,32
1714,겔,32
1715,158,32
1716,외부,32
1717,139,32
1718,그간,32
1719,이행,32
1720,최적,32
1721,하림,32
1722,합성,32
1723,8조,32
1724,컨텐츠,32
1725,덕분,32
1726,경기도,32
1727,청년,32
1728,이해,32
1729,여개,32
1730,25,32
1731,재외,32
1732,민선,32
1733,2026년,32
1734,패키징,32
1735,증자,32
1736,근로자,32
1737,ICT,32
1738,2019년,32
1739,조언,32
1740,자연,32
1741,재계,0
1742,대표이사,32
1743,혁명,32
1744,회관,32
1745,융자,32
1746,전시장,32
1747,16,32
1748,연주,32
1749,가이드,32
1750,166,31
1751,촬영,31
1752,과천,31
1753,접근,31
1754,박스,31
1755,163,31
1756,7,31
1757,020,31
1758,어려움,-1
1759,보건복지부,31
1760,사고,31
1761,모빌리티,31
1762,플러스,31
1763,위반,-1
1764,상용,31
1765,50,31
1766,임금,31
1767,하원,31
1768,항공우주,31
1769,클럽,31
1770,명예,31
1771,동포,31
1772,순환,31
1773,배출,31
1774,박,31
1775,판매량,31
1776,랠리,31
1777,염증,31
1778,최신,31
1779,보사노바,31
1780,국빈,31
1781,서정진,31
1782,카이스트,31
1783,바젤,31
1784,126,30
1785,참석자,30
1786,뉴,30
1787,처방,30
1788,전쟁,30
1789,예방,30
1790,시마,30
1791,변호사,30
1792,취득,30
1793,한국전력,30
1794,시스,30
1795,법원,30
