,keyword,sum
1734,순차,16
1735,이영,15
1736,사옥,15
1737,기다리고,15
1738,1000원,15
1739,급락,15
1740,엔,15
1741,심사,15
1742,애플,15
1743,개량,15
1744,8조,15
1745,청,15
1746,EMA,15
1747,5680억원,15
1748,543,15
1749,KCGS,15
1750,당사,15
1751,학회,15
1752,관절염,15
1753,한계,15
1754,많이,15
1755,4천,15
1756,비는,15
1757,들여,15
1758,없다,15
1759,늘어,15
1760,료,15
1761,22일,15
1762,여력,15
1763,높이는,15
1764,논,15
1765,생산력,15
1766,호주,15
1767,5000원,15
1768,향상,15
1769,부합,15
1770,3000원,15
1771,됐다며,15
1772,스케일,15
1773,합성,15
1774,페터,15
1775,photonewsiscom,15
1776,측,15
1777,7000원,15
1778,125,15
1779,넥스,15
1780,접근,15
1781,인정,15
1782,받았다고,15
1783,합의,15
1784,6000원,15
1785,목적,15
1786,경찰,15
1787,가까운,15
1788,37,15
1789,법률,15
1790,전기차,15
1791,알리,15
1792,2억,15
1793,발주,15
